(52925,29263,7.24548)
(52925,20688,7.04399)
(52925,28140,5.70478)
(52925,49065,6.46084)
(52925,31153,6.3363)
(52925,31070,4.31249)
(52925,51386,4.34996)
(52925,32492,2.99124)
(52925,19465,5.62766)
(52925,37459,10.9185)
(52925,8531,5.96642)
(52925,12001,3.51148)
(52925,48683,3.84939)
(52925,14637,5.53498)
(52925,53147,3.94075)
(52925,13278,3.96102)
(52925,47462,5.12167)
(52925,16012,5.299)
(52925,26663,5.46347)
(52925,35795,4.66811)
(52925,49107,3.26328)
(52925,6828,5.49162)
(52925,12857,5.65743)
(52925,33476,3.21789)
(52925,17709,4.59094)
(52925,29419,1.66821)
(52925,13199,3.19221)
(52925,43500,1.00859)
(52925,48041,3.82133)
(52925,32633,1.60991)
(52925,38095,4.99921)
(52925,27430,5.14466)
(52925,11300,7.19567)
(52925,6254,7.00732)
(52925,1259,6.43882)
(52925,12265,7.15318)
(52925,31743,4.12838)
(52925,13950,12.004)
(52925,6571,2.91101)
(52925,37229,2.22173)
(52925,26939,10.09)
(52925,2478,6.29807)
(52925,31272,1.71902)
(52925,43047,5.68949)
(52925,38437,2.0943)
(52925,1647,5.86708)
(52925,45079,5.5341)
(52925,35784,2.0025)
(52925,5042,2.8983)
(52925,41935,4.59995)
(52925,42214,4.02565)
(52925,5699,5.47003)
(52925,4676,3.26903)
(52925,30866,2.45703)
(52925,10659,3.36162)
(52925,26960,3.49186)
(52925,5557,2.62136)
(52925,3236,5.18898)
(52925,10236,0.600678)
(52925,6145,6.06266)
(52925,21850,4.16063)
(52925,9284,3.3397)
(52925,27375,6.25093)
(52925,14222,6.23135)
(52925,26785,3.95774)
(52925,40270,9.46232)
(52925,9874,6.16064)
(52925,39116,6.18751)
(52925,35899,2.33833)
(52925,45151,3.37239)
(52925,8881,4.0023)
(52925,14723,7.84271)
(52925,44077,5.55954)
(52925,33792,5.67759)
(52925,52691,5.97664)
(52925,40899,4.22203)
(52925,32321,1.5339)
(52925,9214,3.09038)
(52925,28918,5.78643)
(52925,9688,6.53397)
(52925,16468,4.65984)
(52925,27866,5.67899)
(52925,27691,6.84888)
(52925,53046,5.32491)
(52925,46562,5.24377)
(52925,33483,3.82521)
(52925,20880,3.92409)
(52925,447,2.71634)
(52925,2105,7.14102)
(52925,31494,9.38824)
(52925,6229,4.69323)
(52925,42335,6.0056)
(52925,27093,5.07996)
(52925,19768,8.22012)
(52925,27567,11.0182)
(52925,27410,10.2083)
(52925,32870,4.61304)
(52925,899,6.77212)
(52925,42529,4.51167)
(52925,32875,9.94205)
(52925,23329,3.7114)
(52925,45561,4.10571)
(52925,4658,6.18044)
(52925,53124,4.55587)
(52925,15656,3.46905)
(52925,24497,2.55925)
(52925,30561,4.94107)
(52925,21321,4.32862)
(52925,3480,4.66308)
(52925,17015,3.21442)
(52925,38758,7.31106)
(52925,24004,7.05348)
(52925,51613,6.62001)
(52925,12178,5.24131)
(52925,30736,3.68148)
(52925,35225,4.30865)
(52925,3295,5.36425)
(52925,41920,5.10887)
(52925,27772,5.98096)
(52925,41230,5.33036)
(52925,26488,8.23259)
(52925,27768,4.83662)
(52925,20318,3.91763)
(52925,26432,8.93523)
(52925,48495,4.20312)
(52925,45026,5.86407)
(52925,1490,6.21317)
(52925,36001,8.05173)
(52925,18701,4.02108)
(52925,51739,3.76086)
(52925,10974,5.99183)
(52925,31352,8.47959)
(52925,30732,3.1678)
(52925,23990,4.21403)
(52925,41287,6.52553)
(52925,42184,5.81197)
(52925,38464,4.15119)
(52925,52453,6.96115)
(52925,26662,7.72696)
(52925,52894,5.14078)
(52925,39185,6.05689)
(52925,31860,4.22617)
(52925,30307,9.76386)
(52925,27977,3.27931)
(52925,27047,4.99502)
(52925,5352,4.33501)
(52925,20796,5.55289)
(52925,33348,4.75072)
(52925,45473,5.18933)
(52925,28663,5.87901)
(52925,12603,5.40987)
(52925,41341,1.40558)
(52925,35125,6.92481)
(52925,26956,6.91515)
(52925,52269,9.96913)
(52925,22542,1.16762)
(52925,34102,3.58024)
(52925,11344,5.78818)
(52925,36537,5.96348)
(52925,8229,4.81033)
(52925,33626,6.21032)
(52925,44982,3.66246)
(52925,37792,3.01166)
(52925,27203,6.26055)
(52925,47276,1.74837)
(52925,20337,5.22834)
(52925,19683,2.48446)
(52925,28769,7.17504)
(52925,19413,8.23706)
(52925,51380,5.79775)
(52925,28762,1.77663)
(52925,1193,5.38783)
(52925,49221,3.48308)
(52925,7225,4.64067)
(52925,41208,4.94569)
(52925,5677,3.44826)
